time	pullRequestID	userID	repoID
2010-09-01 02:28:10	23167	19286	24292
2010-09-01 04:42:47	39229	149549	71786
2010-09-01 07:15:32	32135	136071	64176
2010-09-01 08:29:11	74474	172672	79163
2010-09-01 08:33:04	44960	57022	77319
2010-09-01 09:45:58	32132	10345	64176
2010-09-01 10:10:45	32131	10345	64176
2010-09-01 10:34:26	32127	10345	64176
2010-09-01 11:05:43	39847	146754	72032
2010-09-01 11:36:18	64796	143484	104307
2010-09-01 13:40:57	66482	169669	105378
2010-09-01 20:50:44	65876	169737	79166
2010-09-01 21:18:42	64795	196866	104307
2010-09-01 22:46:30	74471	105981	79163
2010-09-01 22:57:23	74469	172505	79163
2010-09-01 23:00:41	74468	172505	79163
2010-09-01 23:20:06	74466	172886	79163
2010-09-01 23:55:46	39846	150262	72032
2010-09-02 00:28:38	32468	15032	64918
2010-09-02 00:59:39	39228	149549	71786
2010-09-02 01:05:32	15125	59219	15974
2010-09-02 01:48:24	69388	11031	107085
2010-09-02 02:19:53	38532	112650	51671
2010-09-02 02:24:22	38530	112650	51671
2010-09-02 05:36:34	52170	17856	95385
2010-09-02 08:44:43	74461	76202	79163
2010-09-02 09:20:54	32125	10345	64176
2010-09-02 11:12:11	39227	149549	71786
2010-09-02 12:44:56	23165	19286	24292
2010-09-02 13:34:17	61639	44516	78852
2010-09-02 14:31:49	23164	19286	24292
2010-09-02 17:14:12	61636	194526	78852
2010-09-02 18:57:01	15124	59219	15974
2010-09-02 20:07:14	15122	42415	15974
2010-09-02 20:42:59	65869	33164	79166
2010-09-02 23:52:10	15120	31416	15974
2010-09-03 02:51:50	38528	112650	51671
2010-09-03 04:20:52	39226	26407	71786
2010-09-03 08:06:51	42160	155148	75984
2010-09-03 09:14:13	21705	76592	25875
2010-09-03 09:56:38	23162	19286	24292
2010-09-03 10:04:20	32122	10345	64176
2010-09-03 11:42:27	32117	135983	64176
2010-09-03 12:14:21	5475	16285	7242
2010-09-03 13:47:09	74459	125795	79163
2010-09-03 16:55:34	74458	172505	79163
2010-09-03 19:00:00	3549	11080	9
2010-09-03 19:15:55	25660	104135	50618
2010-09-03 19:41:18	42699	142840	76946
2010-09-04 01:01:21	39225	149549	71786
2010-09-04 02:29:44	15769	62385	19580
2010-09-04 03:12:18	38526	112650	51671
2010-09-04 06:25:06	42155	78729	75984
2010-09-04 22:35:05	3544	11052	9
2010-09-05 00:58:30	74455	54562	79163
2010-09-05 04:02:22	15973	423	17515
2010-09-05 06:41:01	42540	131993	62502
